資料版本編號,附屬路線唯一識別代碼,所屬業管機關,營運業者編號,去返程 [0: 去程; 1: 返程; 2: 迴圈; 255: 未知],站牌所屬的站位唯一代碼,站牌所屬的站位代碼,站牌所屬的站名碼,站牌唯一識別代碼,地區既用中之站牌代碼,站牌中文名稱,站牌英文名稱,上下車站別 [0: 可上下車; 1: 可上車; -1: 可下車],路線經過站牌之順序,位置緯度(WGS84),位置經度(WGS84),地理識別碼,市區鄉鎮代碼,市區鄉鎮名稱,站牌位置縣市之代碼,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
VersionID,SubrouteUID,Authority,OperatorNo,Direction,StationUID,StationID,StationNameID,StopUID,StopID,StopNameZh,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,Geohash,TownID,TownName,LocationCityCode,SrcUpdateTime,UpdateTime,InfoDate
1613,TPE10735,Taipei,0813,1,TPE2437,2437,,TPE17558,17558,國泰新村(興隆),Guotai New Village(Xinglong),0,38,24.98254356,121.5622646,wsqqn5yv,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102620,Taipei,0913,1,TPE5976,5976,,TPE20604,20604,社新里,Shexin Li,0,27,25.089198,121.50434,wsqqszkg,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE159927,Taipei,0913,0,TPE8535,8535,,TPE10245,10245,捷運葫洲站(康寧專校),MRT Huzhou Sta.(Kangning Junior College of Medical Care Management),-1,23,25.0726213066526,121.607610913193,wsqqxhrf,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10328,Taipei,1304,1,TPE1942,1942,,TPE14493,14493,金華新生路口,Jinhua and Xinsheng Intersection,0,13,25.03087,121.53346,wsqqms9z,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10723,Taipei,0813,0,TPE1000142,1000142,,TPE16894,16894,信義國中(莊敬),Xinyi Junior High School (Zhuangjing),-1,31,25.027402,121.565724,wsqqqk17,2,信義區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107520,Taipei,0813,0,TPE50006,50006,,TPE22283,22283,三民健康路口(西松高中),Sanmin and Jiankang Intersection(Xisong High School),-1,37,25.05481494,121.5638473,wsqqw304,1,松山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10432,Taipei,0301,1,TPE194,194,,TPE10809,10809,治磐新村,Zhipan New Village,0,21,25.0830692818289,121.564098538475,wsqqwq0r,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE155949,Taipei,0301,0,TPE8621,8621,,TPE21744,21744,公館山,Gongguanshan,0,25,25.071952,121.581177,wsqqwshw,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102620,Taipei,0913,0,TPE739,739,,TPE20558,20558,社子派出所,Shezi Police Substation,0,20,25.08933251,121.5056145,wsqqszme,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10751,Taipei,0813,1,TPE2248,2248,,TPE16515,16515,自來水處(辛亥),Taipei Water Department(Xinhai ),-1,8,25.01748,121.54798,wsqqmfk9,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE157758,Taipei,1407,0,TPE72044,72044,,TPE16853,16853,捷運新店站(新店路),MRT Xindian Sta.(Xindian Rd.),-1,1,24.958392,121.53755,wsqmvxsc,6,新店區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10711,Taipei,0813,0,TPE1000444,1000444,,TPE17214,17214,興隆山莊,Xinglong Shanzhuang,-1,13,24.990768,121.55919,wsqqnjkt,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104720,Taipei,0301,0,TPE55009,55009,,TPE184022,184022,岩山里一,Yanshan Li (1),0,36,25.10344,121.53704,wsqqv9uw,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
